							Insulin=0.01nM	(Dataset 1 of 3)							Insulin=1nM	(Dataset 1 of 3)							Insulin=100nM	(Dataset 1 of 3)							Insulin=0.01nM	(Dataset 2 of 3)							Insulin=1nM	(Dataset 2 of 3)							Insulin=100nM	(Dataset 2 of 3)							Insulin=0.01nM	(Dataset 3 of 3)							Insulin=1nM	(Dataset 3 of 3)							Insulin=100nM	(Dataset 3 of 3)							
206	1-Methyladenosine	1-Methyladenosine	C02494				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.013	0.0095	0.0048	0.0065	0.0072	N.D.	N.D.	N.D.	0.0057	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0038	N.D.	0.024	N.D.	N.D.	0.0022	0.0031	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
207	2-Isopropylmalate	alpha-Isopropylmalate	C02504				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.013	0.01	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
208	Methylmalonyl CoA	Methylmalonyl-CoA	C02557				0.022	0.03	0.041	0.035	0.031	0.031	0.029	0.028	0.029	0.028	0.032	0.031	0.039	0.033	0.032	0.04	0.038	0.03	0.034	0.043	0.038	0.041	0.028	0.035	0.023	0.019	0.018	0.018	N.D.	0.023	0.021	0.027	0.011	0.024	0.017	0.03	0.027	0.037	0.032	0.023	0.025	0.029	0.023	0.033	0.035	0.032	0.031	0.025	0.029	0.025	0.04	0.037	0.035	0.049	0.047	0.034	0.038	0.023	0.038	0.034	0.043	0.04	0.044	0.053	0.05	0.062	0.038	0.061	0.053	0.047	0.05	0.045	0.425354108
209	o-Acetylcarnitine	O-Acetylcarnitine	C02571				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.024	0.019	0.012	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.028	0.015	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
210	2-Deoxystreptamine	2-Deoxystreptamine	C02627				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.018	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
211	2-Hydroxyglutarate	2-Hydroxyglutarate	C02630	C01087	C03196		0.014	N.D.	N.D.	N.D.	N.D.	0.018	0.019	0.02	0.028	N.D.	0.014	N.D.	N.D.	N.D.	N.D.	0.021	0.015	0.016	N.D.	0.016	N.D.	0.014	N.D.	0.016	0.053	0.049	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.028	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.03	N.D.	N.D.	N.D.	N.D.	0.024	0.01	0.015	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	0.017	0.019	N.D.	N.D.	0.018	N.D.	0.017	0.022	0.02	N.D.	0.014	N.D.	0.013	N.D.	0.016	0.021	-0.226195267
212	Isoamylamine	3-Methylbutanamine	C02640				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.023	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
213	Pimelate	Pimelate	C02656				N.D.	N.D.	0.012	0.0088	N.D.	0.014	N.D.	0.015	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	0.018	N.D.	N.D.	0.013	N.D.	N.D.	N.D.	0.012	N.D.	0.014	0.012	N.D.	0.016	N.D.	0.018	0.013	0.0093	0.015	N.D.	0.01	N.D.	N.D.	N.D.	N.D.	N.D.	0.016	0.0098	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	N.D.	N.D.	0.014	0.013	N.D.	0.0098	0.0073	N.D.	N.D.	N.D.	0.012	N.D.	N.D.	N.D.	N.D.	0.016	N.D.	0.011	0.012	0.013	0.013	N.D.	0.009	N.D.	-0.221494244
214	Dodecanedioate	Dodecanedioic acid	C02678				0.0037	N.D.	N.D.	0.0036	N.D.	N.D.	0.0035	0.0054	N.D.	0.004	0.003	0.0033	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0038	0.0094	0.008	0.0064	0.0048	0.0048	0.0044	0.0049	N.D.	0.004	0.0049	0.0046	0.0046	0.0055	0.0042	0.0043	0.0038	0.0035	0.0044	0.0039	0.0047	0.0047	0.0032	0.0039	0.0049	N.D.	N.D.	N.D.	N.D.	0.0029	0.004	N.D.	N.D.	N.D.	N.D.	N.D.	0.0034	N.D.	N.D.	0.003	N.D.	N.D.	0.0035	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	-0.257358633
215	Dodecanoate	Dodecanoic acid	C02679				0.39	0.43	0.31	0.63	0.44	0.45	0.39	0.3	0.47	0.38	0.31	0.39	0.5	0.48	0.36	0.48	0.46	0.45	0.45	0.43	0.48	0.4	0.43	0.44	0.24	0.45	0.6	0.54	0.52	0.59	0.54	0.69	0.59	0.49	0.66	0.42	0.59	0.51	0.57	0.6	0.6	0.45	0.48	0.57	0.43	0.5	0.65	0.52	0.2	0.25	0.26	0.39	0.27	0.3	0.22	0.31	0.2	0.18	0.27	0.16	0.2	0.19	0.25	0.26	0.3	0.16	0.28	0.21	0.17	0.24	0.33	0.19	-0.187413121
216	Methyl sulfate	Monomethyl sulfate	C02704				0.02	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.026	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.025	N.D.	N.D.	0.022	N.D.	N.D.	N.D.	N.D.	N.D.	0.042	N.D.	N.D.	N.D.	N.D.	0.029	0.043	N.D.	N.D.	0.021	N.D.	N.D.	0.018	0.012	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.016	0.022	N.D.	0.014	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.019	N.D.	N.D.	N.D.
217	N-Acetylleucine	N-Acetyl-L-leucine	C02710				0.018	0.018	0.021	0.022	0.017	0.018	0.017	0.018	0.013	0.02	0.018	0.016	0.022	0.014	0.014	0.016	0.016	0.016	0.024	0.023	0.02	0.015	0.018	0.015	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	0.016	0.02	0.02	0.0094	0.013	0.011	0.016	0.012	0.017	0.019	0.019	0.015	0.017	0.014	0.018	0.014	0.018	0.018	0.015	0.016	0.013	0.011	0.013	-0.306359724
218	N-Acetylmuramate	N-Acetylmuramate	C02713				0.089	0.037	0.15	0.11	0.082	0.11	0.15	0.16	N.D.	0.071	0.063	0.063	N.D.	N.D.	0.079	N.D.	0.062	N.D.	0.056	N.D.	N.D.	N.D.	0.082	0.062	0.03	0.016	0.027	0.018	0.03	0.024	0.03	0.032	0.028	0.014	0.017	N.D.	0.024	0.019	0.032	0.044	0.018	N.D.	0.0097	0.018	0.016	0.017	0.027	0.025	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.039	0.028	0.038	N.D.	0.039	0.063	0.078	0.057	0.044	0.035	0.036	0.048	0.048	0.066	0.069	0.068	-0.406412922
219	N-Acetylputrescine	N-Acetylputrescine	C02714				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.033	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
220	Phenylethanolamine	Phenylethanolamine	C02735				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.017	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
221	10-Hydroxydecanoate	10-Hydroxydecanoic acid	C02774				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	0.0094	0.0062	0.0073	0.0066	0.0061	0.0062	0.0033	N.D.	N.D.	N.D.	0.0042	0.0051	0.0065	0.0044	N.D.	N.D.	N.D.	0.0069	0.0059	N.D.	0.0053	0.0079	0.0052	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
222	Imidazole-4-acetate	Imidazole-4-acetate	C02835				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.05	N.D.	N.D.	N.D.	0.045	N.D.	N.D.	N.D.	0.041	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.038	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.042	N.D.	N.D.	0.027	N.D.	N.D.	N.D.	N.D.	0.038	N.D.	N.D.	N.D.	N.D.	0.029	N.D.	0.054	N.D.	0.028	N.D.	N.D.
223	1-Methylnicotinamide	1-Methylnicotinamide	C02918				0.021	0.019	0.027	0.025	N.D.	N.D.	0.015	0.028	N.D.	N.D.	0.02	0.017	N.D.	0.016	0.017	0.018	N.D.	N.D.	0.022	0.018	N.D.	0.019	0.021	0.02	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	0.01	0.014	N.D.	N.D.	0.03	0.013	0.013	0.013	0.011	0.011	0.015	N.D.	0.015	N.D.	N.D.	0.014	N.D.	0.023	N.D.	0.015	N.D.	N.D.	0.018	N.D.	0.016	N.D.	N.D.	N.D.	N.D.	0.021	0.023	N.D.	N.D.	N.D.	N.D.
224	Methionine sulfoxide	L-Methionine S-oxide	C02989				0.18	0.2	0.21	N.D.	0.23	0.15	0.16	0.13	0.16	0.15	N.D.	0.2	0.18	0.21	0.2	0.16	0.19	0.17	0.15	0.17	0.23	0.19	0.25	0.21	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.17	0.15	N.D.	0.11	N.D.	N.D.	0.12	0.12	0.15	0.16	0.12	0.11	0.13	0.13	0.24	0.22	N.D.	0.18	0.23	0.24	0.24	0.23	0.18	0.19	0.24	0.2	0.17	0.17	0.22	0.27	0.21	0.17	0.28	0.21	0.27	0.21	0.22	N.D.	-0.34139994
225	N-Acetylhistidine	N-Acetyl-L-histidine	C02997				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.015	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
226	"5,6-Dimethylbenzimidazole"	Dimethylbenzimidazole	C03114				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.011	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
227	S-Methylmethionine	S-Methyl-L-methionine	C03172				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
228	Bis(3-aminopropyl)amine	Norspermidine	C03375				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0031	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
229	Argininosuccinate	N-(L-Arginino)succinate	C03406				0.13	0.15	0.1	0.082	0.15	0.13	0.15	0.13	0.13	0.14	0.086	0.097	0.15	0.14	0.19	0.24	0.14	0.15	0.087	0.12	0.16	0.2	0.19	0.2	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.098	0.13	0.096	0.092	0.11	0.12	0.13	0.16	0.1	0.1	0.09	0.098	0.14	0.12	0.17	0.22	0.083	0.13	0.08	0.086	0.12	0.17	0.18	0.23	2.556987609
229*	Argininosuccinate*	N-(L-Arginino)succinate	C03406				0.19	0.22	0.17	0.17	0.19	0.17	0.21	0.23	0.16	0.25	0.17	0.17	0.19	0.24	0.29	0.33	0.15	0.18	0.14	0.18	0.27	0.3	0.3	0.31	0.13	0.2	0.14	0.16	0.17	0.14	0.17	0.22	0.12	0.18	0.13	0.11	0.17	0.16	0.26	0.26	0.13	0.14	0.13	0.13	0.19	0.19	0.29	0.31	0.15	0.19	0.16	0.14	0.19	0.16	0.19	0.25	0.14	0.17	0.17	0.13	0.23	0.23	0.24	0.41	0.18	0.21	0.13	0.14	0.24	0.2	0.25	0.34	0.961780657
230	S-Lactoylglutathione	(R)-S-Lactoylglutathione	C03451				0.23	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.34	N.D.	N.D.	N.D.	N.D.	N.D.	0.14	N.D.	0.096	N.D.	0.2	N.D.	N.D.	0.23	0.16	N.D.	N.D.	0.11	0.1	0.11	0.1	0.081	0.086	0.086	0.094	0.12	0.14	0.11	0.098	0.1	0.093	0.1	0.086	0.094	0.096	0.11	0.61	0.088	0.098	0.11	0.1	N.D.	0.22	0.18	N.D.	0.15	N.D.	N.D.	N.D.	N.D.	0.16	0.16	N.D.	0.12	0.12	N.D.	0.077	N.D.	N.D.	N.D.	N.D.	N.D.	0.13	N.D.	N.D.	0.842207624
231	5-Methyl-2'-deoxycytidine	5-Methyl-2'-deoxycytidine	C03592				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.013	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
232	Glucosaminate	2-Amino-2-deoxy-D-gluconate	C03752				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.018	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
233	3-Hydroxy-3-methylglutarate	3-Hydroxy-3-methylglutarate	C03761				0.04	0.042	0.05	0.055	0.05	0.043	0.057	0.035	0.042	0.045	0.058	0.057	0.037	0.041	0.057	0.039	0.042	0.045	0.055	0.067	0.047	0.057	0.063	0.041	0.098	0.082	0.1	0.094	0.13	0.096	0.092	0.091	N.D.	0.084	0.09	0.089	0.086	N.D.	N.D.	0.075	N.D.	0.1	0.078	0.11	0.13	0.073	0.11	N.D.	0.052	0.048	0.062	0.059	0.066	0.067	0.068	0.062	0.056	0.06	0.078	0.071	0.076	0.068	0.09	0.073	0.077	0.074	0.077	0.087	0.078	0.075	0.076	0.067	0.216444979
234	"N6,N6,N6-Trimethyllysine"	"N6,N6,N6-Trimethyl-L-lysine"	C03793				0.02	N.D.	0.02	0.018	0.025	N.D.	0.031	0.021	0.02	N.D.	N.D.	0.024	N.D.	N.D.	N.D.	0.029	0.027	N.D.	0.019	0.022	0.026	0.028	0.039	0.019	0.033	0.029	0.031	0.031	0.028	0.019	0.022	0.02	0.016	0.019	0.026	0.018	0.019	0.019	0.018	0.021	0.018	0.014	0.019	0.014	0.017	0.014	0.017	0.015	N.D.	0.021	N.D.	N.D.	0.022	0.02	N.D.	N.D.	N.D.	0.018	N.D.	0.023	N.D.	0.023	N.D.	N.D.	0.021	N.D.	N.D.	N.D.	0.031	0.025	N.D.	0.024	-0.632774725
235	N6-Methyl-2'-deoxyadenosine	N6-Methyl-2'-deoxyadenosine	C03795				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0063	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0089	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
236	TRH	Thyrotropin-releasing hormone	C03958				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.017	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
237	1-Amino-1-cyclopentanecarboxylate	1-Aminocyclopentanecarboxylate	C03969				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.018	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
238	N-Acetylglucosamine 1-phosphate	N-Acetyl-alpha-D-glucosamine 1-phosphate	C04501	C04256			0.09	0.16	0.12	0.15	0.1	0.11	0.1	0.1	0.11	0.13	0.13	0.13	0.11	0.1	0.083	0.1	0.11	0.12	0.12	0.12	0.11	0.13	0.085	0.1	0.1	0.12	0.13	0.13	0.086	0.09	0.079	0.1	0.089	0.11	0.13	0.12	0.099	0.079	0.077	0.09	0.082	0.11	0.13	0.12	0.099	0.087	0.076	0.088	0.082	0.13	0.11	0.13	0.086	0.088	0.08	0.094	0.096	0.11	0.12	0.13	0.087	0.086	0.072	0.086	0.086	0.12	0.1	0.11	0.1	0.076	0.073	0.092	-0.546000097
239	Synephrine	Synephrine	C04548	C01869			N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.018	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
240	5-Aminoimidazole-4-carboxamide ribotide	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	C04677				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.032	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.023	0.021	0.033	0.032	N.D.	0.03	0.028	0.032	0.038	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
